ratio,angle_index,design,n,runs,identifiable_runs,identifiable_rate,condition_median,condition_p90,hessian_relative_error_median,hessian_relative_error_p90,hessian_relative_error_max,magnitude_relative_error_median,magnitude_relative_error_p90,magnitude_relative_error_max,spectrum_l1_error_median,spectrum_l1_error_p90,spectrum_l1_error_max,log_condition_error_median,log_condition_error_p90,log_condition_error_max,pairwise_order_accuracy_median,pairwise_order_accuracy_p90,pairwise_order_accuracy_max,tie_fraction_median,tie_fraction_p90,tie_fraction_max
4,0,trajectory,6,50,47,0.94,119.85909743441228,1345.5006083699063,2.887584415948639e-15,1.711890184790989e-14,3.4430854772272653e-13,1.0770745408287618e-15,5.773119538842159e-15,2.143378336249236e-13,1.304512053934559e-15,1.235678226407799e-14,1.1088352458443751e-13,3.9968028886505635e-15,3.859135233597044e-14,3.4661162828797387e-13,1.0,1.0,1.0,0.0,0.0,0.0
4,0,trajectory,8,50,50,1.0,59.29410409829606,319.12211065349504,1.1107706877644954e-15,6.429332094504899e-15,4.709096148976854e-13,5.385372704143809e-16,2.1756905724740993e-15,4.573258500358922e-13,5.828670879282072e-16,4.39648317751562e-15,1.5312751067142472e-13,1.7763568394002505e-15,1.361133428190442e-14,4.787281682183675e-13,1.0,1.0,1.0,0.0,0.0,0.0
4,0,trajectory,12,50,50,1.0,41.381185209068995,130.79753058231162,9.118793702423391e-16,2.513874226753487e-15,8.086312411467688e-15,4.308298163315047e-16,1.0770745408287618e-15,3.231223622486285e-15,6.106226635438361e-16,1.6708856520608615e-15,6.5503158452884236e-15,1.7763568394002505e-15,5.284661597215748e-15,2.020605904817785e-14,1.0,1.0,1.0,0.0,0.0,0.0
4,0,trajectory,20,50,50,1.0,40.09446178626818,99.19842334088467,8.368604167878137e-16,2.35625149942821e-15,7.595695246924259e-15,4.308298163315047e-16,1.0770745408287618e-15,2.8003938061547806e-15,5.689893001203927e-16,1.6958656701149267e-15,3.913536161803677e-15,1.7763568394002505e-15,5.1292303737682235e-15,1.199040866595169e-14,1.0,1.0,1.0,0.0,0.0,0.0
4,0,uniform,3,50,0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
4,0,uniform,5,50,0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
4,0,uniform,6,50,50,1.0,124.86726559595708,547.8839012280229,2.3439416024273862e-15,1.3639536781407421e-14,4.186095525242366e-12,1.0770745408287618e-15,7.108691969469833e-15,1.89974407511377e-12,1.4710455076283324e-15,8.862355294070314e-15,7.418510250545296e-13,4.773959005888173e-15,2.7844393457598934e-14,2.318145675417327e-12,1.0,1.0,1.0,0.0,0.0,0.0
4,0,uniform,8,50,50,1.0,30.941091789350466,89.42131885078018,9.809685499554677e-16,2.3905446582984435e-15,1.1264061723919358e-14,4.308298163315047e-16,1.3355724306276651e-15,4.523713071480799e-15,5.551115123125783e-16,1.8735013540549517e-15,1.0658141036401503e-14,1.887379141862766e-15,6.017408793468349e-15,3.3306690738754696e-14,1.0,1.0,1.0,0.0,0.0,0.0
4,0,uniform,12,50,50,1.0,15.301157567032817,37.536792903724944,5.529378735195093e-16,1.2814343346004049e-15,5.250677973357845e-15,2.1541490816575234e-16,6.46244724497257e-16,8.616596326630094e-16,3.885780586188048e-16,1.2573275753879899e-15,3.497202527569243e-15,1.1102230246251565e-15,3.819167204710539e-15,1.0880185641326534e-14,1.0,1.0,1.0,0.0,0.0,0.0
4,0,uniform,20,50,50,1.0,10.473798392136842,13.621333065322265,6.52684181841948e-16,1.5350553775532544e-15,6.815848200374777e-15,4.308298163315047e-16,8.616596326630094e-16,1.7233192653260188e-15,3.885780586188048e-16,1.279532035880493e-15,9.020562075079397e-15,1.1102230246251565e-15,3.796962744218036e-15,2.7977620220553945e-14,1.0,1.0,1.0,0.0,0.0,0.0
4,1,sobol,3,50,0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
4,1,sobol,5,50,0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
4,1,sobol,6,50,50,1.0,33.1351793763947,255.34658684613552,1.1784819234564173e-15,4.534489202422859e-15,1.059992664157447e-13,6.46244724497257e-16,2.326481008190128e-15,1.486362866343691e-14,7.771561172376096e-16,4.5075054799781365e-15,1.3711254354120683e-13,2.3314683517128287e-15,1.409983241273949e-14,4.283240429003854e-13,1.0,1.0,1.0,0.0,0.0,0.0
4,1,sobol,8,50,50,1.0,11.945766956306816,35.62546114050966,6.977734490460368e-16,1.823032573267317e-15,7.60596913335263e-15,3.231223622486285e-16,1.3140309398110897e-15,3.4466385306520375e-15,3.0531133177191805e-16,1.4988010832439617e-15,5.9396931817445875e-15,1.1102230246251565e-15,4.52970994047064e-15,1.84297022087776e-14,1.0,1.0,1.0,0.0,0.0,0.0
4,1,sobol,12,50,50,1.0,10.598909300607902,15.589321623128237,6.416417269914283e-16,1.2949117279128315e-15,1.2336970896499634e-14,4.308298163315047e-16,1.0770745408287618e-15,4.092883255149295e-15,4.440892098500626e-16,9.18709552877317e-16,8.770761894538737e-15,1.3322676295501878e-15,2.9087843245179105e-15,2.7533531010703882e-14,1.0,1.0,1.0,0.0,0.0,0.0
4,1,sobol,20,50,50,1.0,8.068338724452442,8.512640488100509,6.484693249191721e-16,1.3481120383924361e-15,1.0810389572325487e-14,2.1541490816575234e-16,8.616596326630094e-16,4.308298163315047e-15,4.718447854656915e-16,1.34336985979644e-15,7.494005416219807e-15,1.4432899320127035e-15,4.107825191113081e-15,2.3314683517128287e-14,1.0,1.0,1.0,0.0,0.0,0.0
4,1,trajectory,3,50,0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
4,1,trajectory,5,50,0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
4,1,trajectory,6,50,50,1.0,172.571291941356,1851.0569620652948,3.242642527350523e-15,1.7926556926755736e-14,7.653425596892044e-14,1.5079043571602665e-15,1.1050784788903095e-14,6.807111098037774e-14,1.5126788710517758e-15,7.38020755619573e-15,4.013456234019941e-14,4.773959005888173e-15,2.3248070135650782e-14,1.2567724638756772e-13,1.0,1.0,1.0,0.0,0.0,0.0
4,1,trajectory,8,50,50,1.0,60.82769867847604,176.82511662521222,1.0627473581321202e-15,3.4298353242415542e-15,8.157550965727495e-15,4.308298163315047e-16,1.5079043571602665e-15,3.015808714320533e-15,8.604228440844963e-16,2.5118795932144175e-15,7.632783294297951e-15,2.6645352591003757e-15,7.99360577730113e-15,2.353672812205332e-14,1.0,1.0,1.0,0.0,0.0,0.0
