ratio,angle,angle_index,design,n,seed,paired_seed,identifiable,abstain_reason,rank,condition_number,minimum_singular_value,maximum_singular_value,hessian_relative_error,magnitude_relative_error,spectrum_l1_error,log_condition_error,pairwise_order_accuracy,tie_fraction,estimated_magnitude,estimated_major_spectrum_share
1,0.0,0,sobol,3,40,100040,0,insufficient_samples,3,5.078526097959075,0.38304885815895423,1.945323622953673,,,,,,,,
1,0.0,0,sobol,3,41,100041,0,insufficient_samples,3,2.092258301911935,0.9121336902192544,1.9084192858148041,,,,,,,,
1,0.0,0,sobol,3,42,100042,0,insufficient_samples,3,1.5093463336303643,1.198092680352268,1.8083367944390718,,,,,,,,
1,0.0,0,sobol,3,43,100043,0,insufficient_samples,3,2.289173840236338,0.7990425067458099,1.8291472036793757,,,,,,,,
1,0.0,0,sobol,3,44,100044,0,insufficient_samples,3,3.0012875034184927,0.6258382731004972,1.878320588217532,,,,,,,,
1,0.0,0,sobol,3,45,100045,0,insufficient_samples,3,1.9768819350165796,0.938433522319885,1.8551722774881587,,,,,,,,
1,0.0,0,sobol,3,46,100046,0,insufficient_samples,3,4.246268079921929,0.5003908263177111,2.124793593278655,,,,,,,,
1,0.0,0,sobol,3,47,100047,0,insufficient_samples,3,1.7429165885316156,1.0953924067460565,1.9091775966692728,,,,,,,,
1,0.0,0,sobol,3,48,100048,0,insufficient_samples,3,4.663179238561545,0.41833140230114135,1.9507543100490197,,,,,,,,
1,0.0,0,sobol,3,49,100049,0,insufficient_samples,3,11.24904553466234,0.17093336677900353,1.9228372262901496,,,,,,,,
1,0.0,0,sobol,5,0,100000,0,insufficient_samples,5,59.04724320181858,0.03965278243409113,2.3413874880145786,,,,,,,,
1,0.0,0,sobol,5,1,100001,0,insufficient_samples,5,14.894576048908878,0.15763967031013934,2.3479760577592934,,,,,,,,
1,0.0,0,sobol,5,2,100002,0,insufficient_samples,5,9.746276284196485,0.24835181602210038,2.4205054146333254,,,,,,,,
1,0.0,0,sobol,5,3,100003,0,insufficient_samples,5,22.185808465986316,0.10266095475651367,2.2776162791632992,,,,,,,,
1,0.0,0,sobol,5,4,100004,0,insufficient_samples,5,14.971792234130593,0.1572473389147028,2.354274487600849,,,,,,,,
1,0.0,0,sobol,5,5,100005,0,insufficient_samples,5,12.436867191394803,0.19520490489072992,2.427737477234862,,,,,,,,
1,0.0,0,sobol,5,6,100006,0,insufficient_samples,5,14.494143097185349,0.1694802115362726,2.4564704381479783,,,,,,,,
1,0.0,0,sobol,5,7,100007,0,insufficient_samples,5,9.894218138670453,0.2480504320575947,2.4542650841692963,,,,,,,,
1,0.0,0,sobol,5,8,100008,0,insufficient_samples,5,10.266230800327703,0.24172283394611527,2.4815824030001075,,,,,,,,
1,0.0,0,sobol,5,9,100009,0,insufficient_samples,5,15.101926314745956,0.1590958936962026,2.4026544635787075,,,,,,,,
1,0.0,0,sobol,5,10,100010,0,insufficient_samples,5,13.424671656513912,0.17687830145839709,2.3745331202408666,,,,,,,,
1,0.0,0,sobol,5,11,100011,0,insufficient_samples,5,9.190183006512928,0.25295217340761245,2.324676765511151,,,,,,,,
1,0.0,0,sobol,5,12,100012,0,insufficient_samples,5,21.23366189786825,0.10683693381981928,2.2685393309349684,,,,,,,,
1,0.0,0,sobol,5,13,100013,0,insufficient_samples,5,7.751122480541787,0.30135851807702996,2.3358667841696255,,,,,,,,
1,0.0,0,sobol,5,14,100014,0,insufficient_samples,5,13.916964285732139,0.16683985403811957,2.321904290085273,,,,,,,,
1,0.0,0,sobol,5,15,100015,0,insufficient_samples,5,8.89307564369643,0.2688455330368881,2.3908636617669337,,,,,,,,
1,0.0,0,sobol,5,16,100016,0,insufficient_samples,5,471.36304275015107,0.00485866128574673,2.29019336734194,,,,,,,,
1,0.0,0,sobol,5,17,100017,0,insufficient_samples,5,12.170520527418875,0.2019856922457483,2.458271013721791,,,,,,,,
1,0.0,0,sobol,5,18,100018,0,insufficient_samples,5,10.706770455714057,0.2190114086098029,2.344904879167757,,,,,,,,
1,0.0,0,sobol,5,19,100019,0,insufficient_samples,5,31.08250194547458,0.07893990770728555,2.453649834887287,,,,,,,,
1,0.0,0,sobol,5,20,100020,0,insufficient_samples,5,6.685262253478814,0.3657480217901444,2.445121444358199,,,,,,,,
1,0.0,0,sobol,5,21,100021,0,insufficient_samples,5,8.92915946852765,0.26589331966387997,2.374203852894983,,,,,,,,
1,0.0,0,sobol,5,22,100022,0,insufficient_samples,5,11.421204194427938,0.20702683442107608,2.3644957496491323,,,,,,,,
1,0.0,0,sobol,5,23,100023,0,insufficient_samples,5,9.686427199258357,0.25299796764961135,2.4506463951982815,,,,,,,,
1,0.0,0,sobol,5,24,100024,0,insufficient_samples,5,17.349282234460947,0.13085604419676478,2.2702584428547676,,,,,,,,
1,0.0,0,sobol,5,25,100025,0,insufficient_samples,5,100.38613162338265,0.02315773275212185,2.3247152081536235,,,,,,,,
1,0.0,0,sobol,5,26,100026,0,insufficient_samples,5,15.213275464713806,0.1566603591603711,2.3833171983077266,,,,,,,,
1,0.0,0,sobol,5,27,100027,0,insufficient_samples,5,7.537616955360597,0.30612569625823066,2.3074582385876075,,,,,,,,
1,0.0,0,sobol,5,28,100028,0,insufficient_samples,5,15.125184018144964,0.15723923252761315,2.3782723268520343,,,,,,,,
1,0.0,0,sobol,5,29,100029,0,insufficient_samples,5,8.725719163209053,0.27440790358249134,2.3944063028257667,,,,,,,,
1,0.0,0,sobol,5,30,100030,0,insufficient_samples,5,11.513252234126142,0.21573165435104258,2.4837729514288696,,,,,,,,
1,0.0,0,sobol,5,31,100031,0,insufficient_samples,5,19.219804699547925,0.1195135922877882,2.2970279027126863,,,,,,,,
1,0.0,0,sobol,5,32,100032,0,insufficient_samples,5,12.220004554061848,0.18895226564570022,2.308997546690761,,,,,,,,
1,0.0,0,sobol,5,33,100033,0,insufficient_samples,5,19.4040334405734,0.12548516763533382,2.4349183890919766,,,,,,,,
1,0.0,0,sobol,5,34,100034,0,insufficient_samples,5,21.718726905029683,0.10833667422613594,2.3529346413166143,,,,,,,,
1,0.0,0,sobol,5,35,100035,0,insufficient_samples,5,30.978913001517068,0.0758788759703785,2.3506450973392594,,,,,,,,
1,0.0,0,sobol,5,36,100036,0,insufficient_samples,5,35.32520466454714,0.06832439500436031,2.41357323711039,,,,,,,,
1,0.0,0,sobol,5,37,100037,0,insufficient_samples,5,11.539420539612056,0.2006007267010622,2.3148161459553416,,,,,,,,
1,0.0,0,sobol,5,38,100038,0,insufficient_samples,5,9.533250820400376,0.24734857562884707,2.358036011538571,,,,,,,,
1,0.0,0,sobol,5,39,100039,0,insufficient_samples,5,28.372728252918854,0.08011493366215341,2.2730792417969,,,,,,,,
1,0.0,0,sobol,5,40,100040,0,insufficient_samples,5,28.44820401561445,0.08182276436930047,2.3277106938994088,,,,,,,,
1,0.0,0,sobol,5,41,100041,0,insufficient_samples,5,12.9905286371935,0.18569109633395783,2.412225504598136,,,,,,,,
1,0.0,0,sobol,5,42,100042,0,insufficient_samples,5,25.637804120596847,0.08906903855151885,2.2835345635937294,,,,,,,,
1,0.0,0,sobol,5,43,100043,0,insufficient_samples,5,13.540778995434444,0.17008633492496544,2.3031014713624,,,,,,,,
1,0.0,0,sobol,5,44,100044,0,insufficient_samples,5,15.349828683044588,0.1580885777830543,2.4266325857160522,,,,,,,,
1,0.0,0,sobol,5,45,100045,0,insufficient_samples,5,12.21444216870809,0.18997289949549037,2.320412994509461,,,,,,,,
1,0.0,0,sobol,5,46,100046,0,insufficient_samples,5,10.476758300366585,0.2364858307140474,2.477604889852483,,,,,,,,
1,0.0,0,sobol,5,47,100047,0,insufficient_samples,5,10.152485028259395,0.2291130909377413,2.326067225523652,,,,,,,,
1,0.0,0,sobol,5,48,100048,0,insufficient_samples,5,16.236282119874243,0.1505839900112868,2.4449241445595775,,,,,,,,
1,0.0,0,sobol,5,49,100049,0,insufficient_samples,5,16.169600612445866,0.14418587116963977,2.3314279507706477,,,,,,,,
1,0.0,0,sobol,6,0,100000,1,,6,103.14137745884538,0.024528300939269734,2.5298827456013715,1.3136335981433192e-15,7.850462293418875e-16,1.1102230246251565e-15,2.2204460492503107e-15,1.0,0.0,0.9999999999999992,0.5000000000000006
1,0.0,0,sobol,6,1,100001,1,,6,183.12721783024438,0.013915446980841194,2.548297090465722,1.4895204919483637e-15,0.0,1.5543122344752192e-15,3.1086244689504336e-15,1.0,0.0,1.0,0.5000000000000008
1,0.0,0,sobol,6,2,100002,1,,6,11.719820090724841,0.21919776347181533,2.568958352178933,1.6185481329278188e-15,1.570092458683775e-15,6.106226635438361e-16,1.332267629550187e-15,1.0,0.0,0.9999999999999984,0.5000000000000003
1,0.0,0,sobol,6,3,100003,1,,6,31.20095931569153,0.08103382121957871,2.528332959067096,3.7649494539356106e-16,0.0,3.885780586188048e-16,8.881784197001248e-16,1.0,0.0,1.0,0.5000000000000002
1,0.0,0,sobol,6,4,100004,1,,6,407.8323156091271,0.0062260804730174145,2.5391968164794614,9.155133597044475e-16,9.42055475210265e-16,2.220446049250313e-16,4.440892098500625e-16,1.0,0.0,0.9999999999999991,0.5000000000000001
1,0.0,0,sobol,6,5,100005,1,,6,50.43728958665227,0.051117741635659165,2.5782403378934133,1.0220686874352607e-15,3.14018491736755e-16,9.43689570931383e-16,1.9984014443252798e-15,1.0,0.0,1.0000000000000002,0.5000000000000004
1,0.0,0,sobol,6,6,100006,1,,6,17.159073843175076,0.15056933430184416,2.5836303258030577,3.679263023094299e-15,6.2803698347351e-16,3.7192471324942744e-15,7.327471962526006e-15,1.0,0.0,0.9999999999999993,0.5000000000000019
1,0.0,0,sobol,6,7,100007,1,,6,15.110762995345763,0.17195551316280516,2.5983790051462075,1.0295784775289032e-15,7.850462293418875e-16,7.771561172376096e-16,1.554312234475218e-15,1.0,0.0,1.0000000000000009,0.5000000000000003
1,0.0,0,sobol,6,8,100008,1,,6,11.92094983172519,0.21738093045617235,2.591387166341773,5.384367060189149e-15,6.2803698347351e-16,5.329070518200751e-15,1.0658141036401446e-14,1.0,0.0,1.0000000000000007,0.5000000000000027
1,0.0,0,sobol,6,9,100009,1,,6,223.67457510690787,0.011437800163610916,2.558345091753393,5.7198039434315265e-15,7.850462293418875e-16,5.551115123125783e-15,1.1102230246251504e-14,1.0,0.0,1.0000000000000009,0.5000000000000028
1,0.0,0,sobol,6,10,100010,1,,6,41.16033689374987,0.062205517561700396,2.5604000594896625,2.620220423123142e-15,2.198129442157285e-15,1.5543122344752192e-15,3.1086244689504336e-15,1.0,0.0,0.9999999999999978,0.5000000000000008
1,0.0,0,sobol,6,11,100011,1,,6,26.78608109975867,0.09456591403221283,2.5330502425396593,6.080941944488118e-16,1.570092458683775e-16,6.106226635438361e-16,1.110223024625156e-15,1.0,0.0,0.9999999999999999,0.5000000000000003
1,0.0,0,sobol,6,12,100012,1,,6,100.84350288755961,0.02563732271276588,2.5853574270141038,7.406943415997758e-15,4.239249638446192e-15,6.106226635438361e-15,1.2212453270876648e-14,1.0,0.0,1.0000000000000042,0.500000000000003
1,0.0,0,sobol,6,13,100013,1,,6,23.897223553874085,0.10532782678391946,2.5170426230990497,8.7419048378076905e-16,7.850462293418875e-16,5.551115123125783e-16,1.110223024625156e-15,1.0,0.0,1.0000000000000009,0.5000000000000002
1,0.0,0,sobol,6,14,100014,1,,6,15.618014876349797,0.16305821954582023,2.5466456985777315,1.4895204919483637e-15,3.14018491736755e-16,1.3322676295501878e-15,2.664535259100372e-15,1.0,0.0,1.0000000000000002,0.5000000000000007
1,0.0,0,sobol,6,15,100015,1,,6,10.822867078952584,0.23583861216808655,2.55244995157985,4.807406715958909e-16,0.0,3.885780586188048e-16,8.881784197001248e-16,1.0,0.0,1.0,0.5000000000000002
1,0.0,0,sobol,6,16,100016,1,,6,522.7046741154718,0.00485015391585793,2.535198121998399,4.586981519086563e-15,1.0990647210786425e-15,4.551914400963142e-15,9.103828801926243e-15,1.0,0.0,1.000000000000001,0.5000000000000022
