split,method,family,n_outer,rho_inner,total,intrinsic_accepted,coverage,selective_risk,risk_ucb95,scale_dependent_truth_count,scale_dependent_detection,unidentifiable_rate
holdout,Structured-Two-Scale,quadratic,12,0.25,1800,1,0.0005555555555555556,0.0,0.0,0,nan,0.9666666666666667
holdout,Structured-Two-Scale,quadratic,12,0.5,1800,136,0.07555555555555556,0.0,0.0,0,nan,0.6577777777777778
unseen,Outer-More,cubic,8,0.25,3600,0,0.0,nan,nan,396,0.0,1.0
unseen,Outer-More,cubic,8,0.5,3600,0,0.0,nan,nan,396,0.0,1.0
unseen,Outer-More,cubic,12,0.25,3600,0,0.0,nan,nan,396,0.0,1.0
unseen,Outer-More,cubic,12,0.5,3600,0,0.0,nan,nan,396,0.0,1.0
unseen,Outer-More,oscillatory,8,0.25,3600,0,0.0,nan,nan,3592,0.0,1.0
unseen,Outer-More,oscillatory,8,0.5,3600,0,0.0,nan,nan,3515,0.0,1.0
unseen,Outer-More,oscillatory,12,0.25,3600,0,0.0,nan,nan,3592,0.0,1.0
unseen,Outer-More,oscillatory,12,0.5,3600,0,0.0,nan,nan,3515,0.0,1.0
unseen,Outer-More,rotated_quartic,8,0.25,5400,0,0.0,nan,nan,3419,0.0,1.0
unseen,Outer-More,rotated_quartic,8,0.5,5400,0,0.0,nan,nan,3304,0.0,1.0
unseen,Outer-More,rotated_quartic,12,0.25,5400,0,0.0,nan,nan,3419,0.0,1.0
unseen,Outer-More,rotated_quartic,12,0.5,5400,0,0.0,nan,nan,3304,0.0,1.0
unseen,Random-Inner,cubic,8,0.25,3600,0,0.0,nan,nan,396,0.017676767676767676,0.9813888888888889
unseen,Random-Inner,cubic,8,0.5,3600,67,0.01861111111111111,0.1044776119402985,0.16981132075471697,396,0.1717171717171717,0.8288888888888889
unseen,Random-Inner,cubic,12,0.25,3600,0,0.0,nan,nan,396,0.017676767676767676,0.9813888888888889
unseen,Random-Inner,cubic,12,0.5,3600,88,0.024444444444444446,0.17045454545454544,0.24638673813778042,396,0.17676767676767677,0.8280555555555555
unseen,Random-Inner,oscillatory,8,0.25,3600,0,0.0,nan,nan,3592,0.07126948775055679,0.9288888888888889
unseen,Random-Inner,oscillatory,8,0.5,3600,2,0.0005555555555555556,1.0,1.0,3515,0.22930298719772405,0.7672222222222222
unseen,Random-Inner,oscillatory,12,0.25,3600,0,0.0,nan,nan,3592,0.07126948775055679,0.9288888888888889
unseen,Random-Inner,oscillatory,12,0.5,3600,1,0.0002777777777777778,1.0,1.0,3515,0.2321479374110953,0.7647222222222222
unseen,Random-Inner,rotated_quartic,8,0.25,5400,0,0.0,nan,nan,3419,0.017841474115238374,0.9848148148148148
unseen,Random-Inner,rotated_quartic,8,0.5,5400,72,0.013333333333333334,0.4027777777777778,0.5,3304,0.15920096852300242,0.832037037037037
unseen,Random-Inner,rotated_quartic,12,0.25,5400,0,0.0,nan,nan,3419,0.01842644047967242,0.9844444444444445
unseen,Random-Inner,rotated_quartic,12,0.5,5400,79,0.01462962962962963,0.34177215189873417,0.4510120177103099,3304,0.16192493946731235,0.8305555555555556
unseen,Residual-Only,cubic,8,0.25,3600,0,0.0,nan,nan,396,0.0,1.0
unseen,Residual-Only,cubic,8,0.5,3600,0,0.0,nan,nan,396,0.0,1.0
unseen,Residual-Only,cubic,12,0.25,3600,0,0.0,nan,nan,396,0.0,1.0
unseen,Residual-Only,cubic,12,0.5,3600,0,0.0,nan,nan,396,0.0,1.0
unseen,Residual-Only,oscillatory,8,0.25,3600,0,0.0,nan,nan,3592,0.0,1.0
unseen,Residual-Only,oscillatory,8,0.5,3600,0,0.0,nan,nan,3515,0.0,1.0
unseen,Residual-Only,oscillatory,12,0.25,3600,0,0.0,nan,nan,3592,0.0,1.0
unseen,Residual-Only,oscillatory,12,0.5,3600,0,0.0,nan,nan,3515,0.0,1.0
unseen,Residual-Only,rotated_quartic,8,0.25,5400,0,0.0,nan,nan,3419,0.0,1.0
unseen,Residual-Only,rotated_quartic,8,0.5,5400,0,0.0,nan,nan,3304,0.0,1.0
unseen,Residual-Only,rotated_quartic,12,0.25,5400,0,0.0,nan,nan,3419,0.0,1.0
unseen,Residual-Only,rotated_quartic,12,0.5,5400,0,0.0,nan,nan,3304,0.0,1.0
unseen,Structured-Two-Scale,cubic,8,0.25,3600,1,0.0002777777777777778,0.0,0.0,396,0.04040404040404041,0.9561111111111111
unseen,Structured-Two-Scale,cubic,8,0.5,3600,125,0.034722222222222224,0.184,0.25196850393700787,396,0.2702020202020202,0.6858333333333333
unseen,Structured-Two-Scale,cubic,12,0.25,3600,1,0.0002777777777777778,0.0,0.0,396,0.04040404040404041,0.9558333333333333
unseen,Structured-Two-Scale,cubic,12,0.5,3600,193,0.05361111111111111,0.21761658031088082,0.28350515463917525,396,0.27525252525252525,0.6847222222222222
unseen,Structured-Two-Scale,oscillatory,8,0.25,3600,0,0.0,nan,nan,3592,0.18179287305122493,0.8180555555555555
unseen,Structured-Two-Scale,oscillatory,8,0.5,3600,5,0.001388888888888889,1.0,1.0,3515,0.13655761024182078,0.8608333333333333
unseen,Structured-Two-Scale,oscillatory,12,0.25,3600,0,0.0,nan,nan,3592,0.18207126948775057,0.8177777777777778
unseen,Structured-Two-Scale,oscillatory,12,0.5,3600,3,0.0008333333333333334,1.0,1.0,3515,0.13769559032716927,0.8602777777777778
unseen,Structured-Two-Scale,rotated_quartic,8,0.25,5400,1,0.00018518518518518518,1.0,1.0,3419,0.03714536414156186,0.9587037037037037
unseen,Structured-Two-Scale,rotated_quartic,8,0.5,5400,166,0.030740740740740742,0.3795180722891566,0.45604877578561787,3304,0.3901331719128329,0.6131481481481481
unseen,Structured-Two-Scale,rotated_quartic,12,0.25,5400,1,0.00018518518518518518,1.0,1.0,3419,0.03714536414156186,0.9585185185185185
unseen,Structured-Two-Scale,rotated_quartic,12,0.5,5400,202,0.03740740740740741,0.30198019801980197,0.3736868686868687,3304,0.39315980629539954,0.6116666666666667
