split,method,total,budget_mean,coverage,selective_risk,risk_ucb95,scale_detection,unidentifiable_rate,center_reliable_rate
holdout,Outer-More,50400,18.0,0.0,nan,nan,0.0,1.0,0.5605357142857142
holdout,Random-Inner,50400,18.0,0.007857142857142858,0.11616161616161616,0.15896027864235956,0.08135893956789479,0.9099007936507937,0.135
holdout,Residual-Only,50400,10.0,0.0,nan,nan,0.0,1.0,0.41404761904761905
holdout,Structured-Two-Scale,50400,18.0,0.02005952380952381,0.09495548961424333,0.11618384153691931,0.18401001983091536,0.8012698412698412,0.19916666666666666
unseen,Outer-More,50400,18.0,0.0,nan,nan,0.0,1.0,0.5447222222222222
unseen,Random-Inner,50400,18.0,0.006130952380952381,0.2621359223300971,0.31847837006972207,0.11869101354123923,0.8898015873015873,0.09011904761904761
unseen,Residual-Only,50400,10.0,0.0,nan,nan,0.0,1.0,0.35714285714285715
unseen,Structured-Two-Scale,50400,18.0,0.013849206349206349,0.2851002865329513,0.3377487701063088,0.18331965531391053,0.8108928571428572,0.1448809523809524
